order,family,genus,species,holo or mono
Hemiptera,Pentatomidae,Halyomorpha,Halyomorpha_halys,H
Hemiptera,Pseudococcidae,Maconellicoccus,Maconellicoccus_hirsutus,H
Hemiptera,Aphididae,Melanaphis,Melanaphis_sacchari,H
Hemiptera,Aphididae,Myzus,Myzus_persicae,H
Hemiptera,Lygaeidae,Oncopeltus,Oncopeltus_fasciatus,H
Hemiptera,Pseudococcidae,Paracoccus,Paracoccus_marginatus,H
Hemiptera,Pseudococcidae,Pseudococcus,Pseudococcus_longispinus,H
Hemiptera,Reduviidae,Rhodnius,Rhodnius_prolixus,H
Hemiptera,Aphididae,Schizaphis,Schizaphis_graminum,H
Hemiptera,Aphididae,Sipha,Sipha_flava,H
Hemiptera,Pseudococcidae,Trabutina,Trabutina_mannipara,H
Homoptera,Aphididae,Acyrthosiphon,Acyrthosiphon_pisum,H
Hymenoptera,Formicidae,Acromyrmex,Acromyrmex_echinatior,M
Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster_ashmeadi,M
Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster_floridana,M
Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster_fulva,M
Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster_miamiana,M
Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster_picea,M
Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster_rudis,M
Hymenoptera,Apidae,Apis,Apis_cerana,M
Hymenoptera,Apidae,Apis,Apis_dorsata,M
Hymenoptera,Apidae,Apis,Apis_florea,M
Hymenoptera,Apidae,Apis,Apis_mellifera,M
Hymenoptera,Tenthredinidae,Athalia,Athalia_rosae,M
Hymenoptera,Formicidae,Atta,Atta_cephalotes,M
Hymenoptera,Formicidae,Atta,Atta_colombica,M
Hymenoptera,Apidae,Bombus,Bombus_impatiens,M
Hymenoptera,Apidae,Bombus,Bombus_terrestris,M
Hymenoptera,Formicidae,Camponotus,Camponotus_floridanus,M
Hymenoptera,Pteromalidae,Cecidostiba,Cecidostiba_fungosa,M
Hymenoptera,Pteromalidae,Cecidostiba,Cecidostiba_semifascia,M
Hymenoptera,Cephidae,Cephus,Cephus_cinctus,M
Hymenoptera,Apidae,Ceratina,Ceratina_calcarata,M
Hymenoptera,Agaonidae,Ceratosolen,Ceratosolen_solmsi,M
Hymenoptera,Encyrtidae,Copidosoma,Copidosoma_floridanum,M
Hymenoptera,Braconidae,Cotesia,Cotesia_vestalis,M
Hymenoptera,Formicidae,Cyphomyrmex,Cyphomyrmex_costatus,M
Hymenoptera,Braconidae,Diachasma,Diachasma_alloeum,M
Hymenoptera,Formicidae,Dinoponera,Dinoponera_quadriceps,M
Hymenoptera,Halictidae,Dufourea,Dufourea_novaeangliae,M
Hymenoptera,Apidae,Eufriesea,Eufriesea_mexicana,M
Hymenoptera,Eupelmidae,Eupelmus,Eupelmus_annulatus,M
Hymenoptera,Eupelmidae,Eupelmus,Eupelmus_urozonus,M
Hymenoptera,Apidae,Habropoda,Habropoda_laboriosa,M
Hymenoptera,Formicidae,Harpegnathos,Harpegnathos_saltator,M
Hymenoptera,Halictidae,Lasioglossum,Lasioglossum_albipes,M
Hymenoptera,Formicidae,Lasius,Lasius_niger,M
Hymenoptera,Apidae,Lepidotrigona,Lepidotrigona_ventralis,M
Hymenoptera,Figitidae,Leptopilina,Leptopilina_boulardi,M
Hymenoptera,Figitidae,Leptopilina,Leptopilina_clavipes,M
Hymenoptera,Formicidae,Linepithema,Linepithema_humile,M
