,Total.Loci. TAG,Total.Bases. TAG,Total.Loci.TTAGG,Total.Bases.TTAGG,Total.Loci.TCAGG,Total.Loci.TCAGG
Ferrisia virgata,1509,25602,32,560,0,0
Fopius arisanus,320,4689,2,30,2,30
Frankliniella occidentalis,615,8808,37,700,16,245
Galleria mellonella,7709,109101,300,14570,10,155
Gerris buenoi,3374,62640,7,105,1,15
Glossina austeni,3128,61938,36,600,5,85
Glossina brevipalpis,3408,57903,32,500,1,15
Glossina fuscipes,2763,52164,28,455,4,60
Glossina morsitans,2724,49554,27,430,2,30
Glossina pallidipes,2597,46161,31,505,0,0
Glossina palpalis,2733,50649,26,415,1,15
Goniozus legneri,150,2097,4,60,0,0
Habropoda laboriosa,410,9042,164,2670,0,0
Halyomorpha halys,1283,18120,24,360,3,45
Harpergnathos saltator,972,20013,251,4575,8,140
Heliconius melpomene,1142,17742,77,1890,7,115
Helicoverpa armigera,3897,56520,13,205,5,75
Helicoverpa punctigera,5450,77097,32,725,9,135
helicoverpa zea,3741,55962,29,470,6,90
Hypothenemus hampei,412,5733,18,285,0,0
Lasioglossum albipes,526,8196,34,740,1,15
Lasius niger,488,7473,41,760,0,0
Lepidotrigona ventralis,787,13629,368,5890,1,20
Leptidea sinapsis,2616,34575,68,1305,9,140
Leptinotarsa decemlineata,1038,14667,661,12175,18,350
Leptopilina boulardi,1323,21438,68,1735,2,30
Leptopilina clavipes,1473,22713,26,605,0,0
Lerema accius,1693,23511,39,785,0,0
Libellula fulva,4405,59007,40,620,7,105
Linepithema hunile,349,5223,33,570,3,55
Lucilia cuprina,1873,25029,56,865,1,15
Maconellicoccus hirsutus,197,2901,10,335,0,0
Macrocentrus cingulum,679,11412,1,15,0,0
Manduca sexta,1845,25698,45,840,4,65
Mayetiola destructor,1111,17658,7,115,0,0
Megachile rotundata,312,5091,206,3715,0,0
Megastigmus dorsalis,1204,19089,8,125,4,60
Megastigmus stigmatizans,1320,20301,8,120,2,30
Melanaphis sacchari,858,14910,70,1120,0,0
Melipona quadrIfasciata,438,8205,167,2665,2,35
Microplitis demolitor,1403,25278,2,30,1,15
Mochlonyx cinctipes,1829,27303,34,545,8,125
Monomorium pharaonis,432,7620,62,1125,0,0
Musca domestica,2969,39705,100,1600,14,220
Myzus persicae,969,18345,215,3505,0,0
Nasonia giraulti,636,9264,6,90,0,0
Nasonia longicornis,636,9345,3,45,1,15
Nasonia vitripennis,837,13143,8,130,1,15
Neodiprion lecontei,875,16473,86,1485,3,55
Nicrophorus vespilloides,2298,31338,53,830,3,50
Nilaparvata lugens,8526,238638,647,14390,4,60
Oncopeltus fasciatus,3719,66030,68,1230,3,45
Onthophagus taurus,524,6792,15,300,0,0
Ooceraea biroi,453,6978,78,1480,2,30
Operophtera brumata,32036,422868,132,2170,13,195
Ormyrus nitidulus,333,4860,11,170,0,0
Ormyrus pomaceus,335,4833,18,280,0,0
Orussus abietinus,128,1785,98,2205,2,50
Oryctes borbonicus,743,10137,17,255,4,60
Papilio glaucus,2203,29400,161,2600,6,90
Papilio machaon,2089,29877,24,775,5,80
papilio polytes,2019,30837,8,125,4,60
Papilio xuthus,2295,31455,30,610,1,15
Paracoccus marginatus,405,6507,15,240,1,15
Paykullia maculata,1190,16374,133,2215,1,15
Pediculus humanus,12236,220335,3,185,0,0
Phoebis sennae,777,10605,28,470,0,0
Phormia regina,2682,37587,87,1370,3,45
