,Total.Loci. TAG,Total.Bases. TAG,Total.Loci.TTAGG,Total.Bases.TTAGG,Total.Loci.TCAGG,Total.Loci.TCAGG,all
Eufriesea_mexicana,661,11562,6064,98045,3309,59700,40782
Eupelmus_annulatus,546,7776,5,75,3,45,29919
Eupelmus_urozonus,618,8742,28,420,1,15,36656
Ferrisia_virgata,1509,25602,32,560,0,0,36247
Fopius_arisanus,320,4689,2,30,2,30,14635
Galleria_mellonella,7709,109101,300,14570,10,155,52117
Gerris_buenoi,3374,62640,7,105,1,15,62030
Glossina_austeni,3128,61938,36,600,5,85,34675
Glossina_brevipalpis,3408,57903,32,500,1,15,33210
Glossina_fuscipes,2763,52164,28,455,4,60,181774
Glossina_morsitans,2724,49554,27,430,2,30,187741
Glossina_pallidipes,2597,46161,31,505,0,0,181210
Glossina_palpalis,2733,50649,26,415,1,15,33074
Habropoda_laboriosa,410,9042,164,2670,0,0,26799
Halyomorpha_halys,1283,18120,24,360,3,45,63318
Harpergnathos_saltator,972,20013,251,4575,8,140,22524
Heliconius_melpomene,1142,17742,77,1890,7,115,487641
Helicoverpa_armigera,3897,56520,13,205,5,75,31608
Helicoverpa_punctigera,5450,77097,32,725,9,135,508644
helicoverpa_zea,3741,55962,29,470,6,90,32885
Hypothenemus_hampei,412,5733,18,285,0,0,13055
Ladona_fulva,4405,59007,40,620,7,105,742381
Lasioglossum_albipes,526,8196,34,740,1,15,27292
Lasius_niger,488,7473,41,760,0,0,21562
Lepidotrigona_ventralis,787,13629,368,5890,1,20,32639
Leptinotarsa_decemlineata,1038,14667,661,12175,18,350,54696
Leptopilina_boulardi,1323,21438,68,1735,2,30,22173
Leptopilina_clavipes,1473,22713,26,605,0,0,22141
Linepithema_hunile,349,5223,33,570,3,55,21302
Lucilia_cuprina,1873,25029,56,865,1,15,1182459
Maconellicoccus_hirsutus,197,2901,10,335,0,0,22254
Macrocentrus_cingulum,679,11412,1,15,0,0,9759
Manduca_sexta,1845,25698,45,840,4,65,37237
Mayetiola_destructor,1111,17658,7,115,0,0,648035
Megachile_rotundata,312,5091,206,3715,0,0,28150
Megastigmus_dorsalis,1204,19089,8,125,4,60,53021
Megastigmus_stigmatizans,1320,20301,8,120,2,30,53052
Melanaphis_sacchari,858,14910,70,1120,0,0,25488
Melipona_quadrIfasciata,438,8205,167,2665,2,35,23016
Microplitis_demolitor,1403,25278,2,30,1,15,20747
Monomorium_pharaonis,432,7620,62,1125,0,0,23335
Musca_domestica,2969,39705,100,1600,14,220,69477
Myzus_persicae,969,18345,215,3505,0,0,32648
Nasonia_giraulti,636,9264,6,90,0,0,14910
Nasonia_longicornis,636,9345,3,45,1,15,14889
Nasonia_vitripennis,837,13143,8,130,1,15,1879214
Neodiprion_lecontei,875,16473,86,1485,3,55,21641
Nicrophorus_vespilloides,2298,31338,53,830,3,50,26052
Oncopeltus_fasciatus,3719,66030,68,1230,3,45,63719
Ooceraea_biroi,453,6978,78,1480,2,30,17586
Operophtera_brumata,32036,422868,132,2170,13,195,48215
Ormyrus_nitidulus,333,4860,11,170,0,0,23035
Ormyrus_pomaceus,335,4833,18,280,0,0,24126
Orussus_abietinus,128,1785,98,2205,2,50,15256
Papilio_glaucus,2203,29400,161,2600,6,90,46745
Papilio_machaon,2089,29877,24,775,5,80,30454
papilio_polytes,2019,30837,8,125,4,60,24666
